Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,DE,2017,"12        ",Male,17,Right-Handed,180,25,179,1,Car,25,.407,42,Tennis,900,1000,400,600,23,60,26,"Left foot",85,86,"Ring finger",January,Summer,No,No,Meat,Water,History,6,10,4,"Yes - broadband connection","Text messaging",30,200,60,0,2,40,20,10,0,5,5,3,0,0,"Very little","Graduate degree","Rap/Hip hop","Super strength",Rich,Relative,"Wildlife, animals"
USA,DE,2019,"12        ",Female,17,Ambidextrous,172,25,71,1,Car,15,.47,54,Dancing,754,508,1000,1000,487,610,24,"Right foot",80,85,"Ring finger",August,Fall,Yes,No,Pizza/Pasta,Juice,Music,4,6,6,"Yes - other","In person",56,35,84,3,1,4,1,2,3,1.5,2,2,20,15,"A lot","Some college","Rhythm and blues (R&B)",Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,DE,2016,"12        ",Male,6,Ambidextrous,182,15.24,,1,Skateboard/Scooter/Rollerblade,1440,0.715,37,"Martial Arts",1000,1000,1000,1000,950,1000,15.24,"Same length",8,10,"Ring finger",November,Winter,Yes,Yes,Poultry,Milk,Other,13,13,666,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,300,1,0.5,0.5,0,3,10,4,6,5,0,2,10,"A lot","Graduate degree",Techno/Electronic,Telepathy,Rich,Friend,Other
USA,DE,2013,"12        ",Male,17,Right-Handed,182.9,30,188.9,2,Car,20,.25,36,Lacrosse,232,198,659,724,950,950,26,"Right foot",80,80,"Same length",August,Summer,No,No,Poultry,Juice,Other,3,6,5,"Yes - broadband connection","Cell phone",13,12,4,1,.5,0,3,2,2,4,1,5,0,2,"Very little","Undergraduate degree","Rap/Hip hop",Invisibility,Healthy,Other,"Arts, culture, sports"
USA,DE,2011,"11        ",Female,16,Right-Handed,170,22,169,2,Car,4,.381,34,Dancing,600,500,500,,800,900,23,"Left foot",7,8.4,"Ring finger",June,Summer,No,No,"Rice/Noodle dishes",Tea,History,5,13,3,"Yes - broadband connection","Text messaging",200,210,6,.5,13,2,4,0,6,80,8,8,0,1,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,"Doctor or nurse",Health
USA,DE,2017,"12        ",Male,18,Right-Handed,183,29,184,1,Car,20,.69,49,Soccer,800,600,750,600,500,750,29,"Same length",89,82,"Index finger",October,Winter,Yes,No,Poultry,Water,Geography,7,10,4,"Yes - other","Text messaging",75,200,10,1,1,15,9,6,5,3,15,20,8,4,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Arts, culture, sports"
USA,DE,2017,"12        ",Male,18,Right-Handed,175.2,24.13,167.7,1,Car,20,.746,57,Basketball,600,700,500,450,750,800,24.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DE,2014,"12        ",Male,17,Right-Handed,172.7,25.4,172.7,1,Car,9,.186,44,Lacrosse,1000,1000,1000,1000,1000,1000,25.7,"Same length",101.6,90.6,"Ring finger",January,Fall,Yes,No,Meat,"Sports drink","Mathematics and statistics",6,8,4,"Yes - broadband connection","Text messaging",300,300,12,2,10,6,6,6,6,6,6,6,6,6,"A lot","Graduate degree","Rap/Hip hop","Super strength",Famous,"Sports person","Wildlife, animals"
USA,DE,2012,"12        ",Male,17,Right-Handed,185,28,200,1,Car,25,.28,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DE,2018,"12        ",Male,17,Right-Handed,182,26,182,1,Car,20,.661,40,Baseball/Softball,969,1000,800,800,800,1000,26,"Same length",80,85,"Ring finger",March,Fall,Yes,No,Meat,Water,"Mathematics and statistics",6,8,5,"Yes - broadband connection","Cell phone",150,150,16,1,6,6,8,4,4,6,6,0,9,4,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,Health
USA,DE,2019,"12        ",Male,18,Right-Handed,182.8,32,68,1,Car,10,0.253,57,"Football (American)",100,100,100,100,100,1000,32,"Same length",9,9,"Same length",October,Fall,No,,Meat,Water,"Social studies",6,8,3,"Yes - broadband connection","In person",250,250,40,5,2,50,20,1,2,20,50,5,9,5,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person",Other
USA,DE,2018,"12        ",Male,18,Right-Handed,198.1,29.4,200.6,1,Car,15,0.768,49,Swimming,700,800,560,1000,500,200,29.4,"Same length",95,95,"Same length",June,Fall,Yes,No,"No favorite",Tea,Other,7,11,4,"Yes - other","Text messaging",12,90,1,1,7,3,5,2,1,1,9,1,0,17,Some,"Undergraduate degree",Country,"Freeze time",Happy,Friend,Other
USA,DE,2021,"12        ",Male,17,Right-Handed,191,,189,1,Car,40,.3,52,Other,01,01,01,50,50,75,,,9,10,"Ring finger",May,Fall,Yes,No,Meat,Tea,History,6,6,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,5,2,1,10,3,5,0,3,0,5,3,30,10,Some,"Undergraduate degree",Country,Fly,Happy,"Community leader or elder",Other
USA,DE,2015,"12        ",Male,17,Right-Handed,171,26.67,180.3,1,Car,180,.631,34,"Hockey (Ice)",75,75,30,0,50,25,26.67,"Same length",82.55,76.2,"Index finger",August,Winter,Yes,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",7,2,4,"Yes - broadband connection",Telephone,5,5,24,1,10,3,1,20,0,.5,20,2,27,5,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,DE,2012,"12        ",Male,17,Right-Handed,172.7,30.4,172.7,1,Car,20,.594,51,"Football (American)",700,800,950,960,600,850,30.4,"Right foot",30,30,"Ring finger",June,Spring,No,No,Meat,"Sports drink",History,8,8,5,"Yes - broadband connection","Text messaging",40,40,7,1,12,3,3,5,4,2,14,2,0,1,"A lot","Undergraduate degree",Techno/Electronic,Invisibility,Happy,Teacher,Health
USA,DE,2016,"12        ",Male,17,Right-Handed,152.4,10,30.48,2,Car,"30 ",0.786,45,Basketball,1000,1000,500,500,0,1000,30.48,"Same length",,,"Ring finger",September,Summer,Yes,No,Meat,Water,"Social studies",6,4,4,"Yes - broadband connection","Text messaging",2,5,5,0,3,1,6,2,2,2,1,2,0,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Wildlife, animals"
USA,DE,2018,"12        ",Male,17,Left-Handed,170.1,24.13,168.9,2,Car,15,.5,1,Other,950,750,900,800,700,1000,24.13,"Same length",7.62,7.62,"Same length",March,Winter,Yes,No,"Rice/Noodle dishes",Other,"Physical education",6,6,6,"Yes - broadband connection","In person",2,4,6,1,8,2,12,12,14,1,12,20,16,7,Some,"Graduate degree",Other,"Freeze time",Rich,Other,"Wildlife, animals"
USA,DE,2011,"11        ",Male,16,Right-Handed,181.6,28,181.5,1,Car,10,.339,54,Baseball/Softball,385,604,759,,588,690,28,"Same length","90 ",89,"Index finger",February,Summer,No,No,Meat,Juice,History,7.5,10,5,"Yes - broadband connection","In person",25,25,17,.5,14,5,12,0,7,2,14,8,0,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person","Education/Youth development"
USA,DE,2019,"12        ",Female,17,Right-Handed,167,21,158,Two,Bus,"15 ",.42,48,None,594,834,1000,508,487,861,22,"Left foot",65,70,"Ring finger",April,Fall,No,No,Pizza/Pasta,"Soft drink (caffeinated)","Social studies",6,8,4,"Yes - other","Cell phone",300,331,8,0,10,4,0,0,8,10,15,14,23,2,"A lot","Graduate degree",Pop,Invisibility,Happy,Relative,Health
USA,DE,2019,"12        ",Female,17,Left-Handed,152.4,19,,3,Bus,15min,0.361,62,Other,1000,800,700,900,7,5,19,"Same length",65,65,"Same length",August,Winter,Yes,No,Fruit,Water,Other,6,9,6,"Yes - other","Text messaging",15,15,6,1,5,3,0,2,8,1,9,3,0,4,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Environment
USA,DE,2021,"12        ",Male,17,Right-Handed,177.8,24.13,170.1,1,Bus,30,.4,43,None,990,970,850,910,900,1000,24.13,"Same length",80,80,"Same length",December,Summer,No,No,"No favorite",Water,History,7,9,7,"Yes - other","Text messaging",20,20,7,1,3,5,0,30,10,5,100,2,16,2,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,"International aid"
USA,DE,2016,"12        ",Male,16,Right-Handed,183.2,25,180.9,"2 ",Walk,15,.33,38,Other,1000,1000,1000,1000,1000,1000,25,"Same length",8.2,8.7,"Ring finger",March,Fall,No,No,"Rice/Noodle dishes",Tea,Science,6,8,2,"Yes - broadband connection","Text messaging",6,10,4,0,4,1,3.5,2,10,0,.5,0,0,1,"Very little",,Other,"Freeze time",Rich,Other,Religious
USA,DE,2019,"12        ",Male,17,Right-Handed,170.1,30,175.2,1,Car,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DE,2018,"12        ",Male,18,Right-Handed,174,29.21,167.6,3,Car,75,.7,41,Golf,700,400,800,500,300,1000,29.21,"Same length",88.9,99.06,"Index finger",June,Summer,No,No,Seafood,"Sports drink",History,6,8,4,"Yes - broadband connection","Text messaging",200,220,15,2,8,4,35,5,5,5,4,3,4,3,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Wildlife, animals"
USA,DE,2020,"12        ",Male,17,Ambidextrous,"5,10",10.5,63in,2,Car,"5 min","2 sec",,Golf,0,500,0,500,1000,1000,10.5,"Same length","3 in",3.5,"Ring finger",December,Summer,Yes,No,Meat,"Sports drink",Other,5-6,4,4,"Yes - broadband connection","Cell phone",1,2,,,,,,,,,,,,,Some,"Graduate degree",Other,"Freeze time",Rich,Actor,Health
USA,DE,2013,"12        ",Male,18,Right-Handed,188,26,183,1,Car,3,.25,37,Running/Jogging,650,700,700,750,950,900,28,"Left foot",83,85,"Ring finger",July,Spring,No,No,"No favorite",Milk,History,8,8,4,"Yes - other","Text messaging",200,200,24,3,8,15,15,17,5,100,60,15,0,2,"Very little","Graduate degree","Rock and roll","Freeze time",Happy,Relative,"Arts, culture, sports"
